Contract_ID,Vendor,Category,Approved_Amount_USD,Invoiced_Amount_USD,Contract_Status,Start_Date,End_Date
C-1001,PwC,IT Services,568373,617824,Active,2023-11-24,2024-03-04
C-1002,EY,Cloud Support,241414,256710,Active,2023-09-08,2024-03-31
C-1003,EY,Software Licensing,577948,541134,Active,2023-03-30,2024-12-08
C-1004,Globant,Software Dev,713610,802654,Active (Overrun),2023-01-05,2024-08-22
C-1005,IBM,ERP Implementation,928739,866319,Active,2023-06-15,2024-06-22
C-1006,Microsoft,IT Services,114485,104318,Closed,2023-02-04,2024-01-07
C-1007,Capgemini,Cloud Support,79873,70868,Active (Overrun),2023-06-19,2024-10-22
C-1008,Oracle,ERP Implementation,902189,771333,Closed,2023-04-15,2024-12-29
C-1009,Oracle,Cloud Services,792858,927862,Active,2023-10-24,2024-12-21
C-1010,IBM,Cloud Services,302260,249917,Closed,2023-08-20,2024-06-21
C-1011,IBM,ERP Implementation,474145,457316,Closed,2023-08-18,2024-07-29
C-1012,PwC,Consulting,631413,662292,Closed,2023-12-03,2024-11-01
C-1013,Microsoft,ERP Implementation,467889,443460,Active,2023-05-22,2024-10-09
C-1014,EY,Risk Audit,301489,251253,Active,2023-08-23,2024-03-24
C-1015,SAP,Software Dev,757383,695804,Active,2023-11-14,2024-03-17
C-1016,Deloitte,Software Dev,116326,133828,Closed,2023-08-18,2024-05-10
C-1017,Globant,Risk Audit,112624,114474,Active (Overrun),2023-12-10,2024-02-24
C-1018,Capgemini,Software Dev,69150,81210,Active (Overrun),2023-01-01,2024-05-05
C-1019,Deloitte,Software Licensing,551610,611744,Active,2023-10-06,2024-01-04
C-1020,SAP,Software Licensing,379101,390166,Active (Overrun),2023-01-27,2024-02-06
C-1021,Accenture,ERP Implementation,338283,297621,Active (Overrun),2023-02-04,2024-10-02
C-1022,Capgemini,Cloud Services,57731,68894,Active,2023-02-16,2024-11-21
C-1023,Capgemini,Cloud Support,654177,572100,Closed,2023-01-28,2024-08-22
C-1024,Deloitte,ERP Implementation,409722,338693,Active,2023-01-09,2024-10-17
C-1025,Microsoft,Risk Audit,142400,132004,Closed,2023-06-10,2024-04-27
C-1026,Oracle,Consulting,129715,138653,Active (Overrun),2023-06-17,2024-01-12
C-1027,Oracle,Cloud Services,447745,399888,Active (Overrun),2023-11-23,2024-04-17
C-1028,PwC,IT Services,335881,345246,Active (Overrun),2023-05-21,2024-01-25
C-1029,IBM,Risk Audit,342207,350833,Active,2023-12-18,2024-11-13
C-1030,EY,IT Services,272245,244378,Active (Overrun),2023-11-25,2024-11-14
C-1031,Capgemini,Cloud Services,105061,101057,Active,2023-08-08,2024-10-16
C-1032,SAP,ERP Implementation,63351,53822,Active,2023-01-31,2024-09-13
C-1033,Globant,Risk Audit,791839,905515,Active (Overrun),2023-01-09,2024-06-19
C-1034,EY,Software Licensing,485062,400341,Active,2023-07-23,2024-08-26
C-1035,Capgemini,Software Licensing,276271,312281,Active (Overrun),2024-01-01,2024-02-20
C-1036,Accenture,Cloud Support,510406,508121,Active (Overrun),2023-09-27,2024-07-05
C-1037,IBM,ERP Implementation,768456,908906,Active,2023-09-23,2024-12-16
C-1038,Accenture,IT Services,400695,452730,Closed,2023-05-21,2024-09-14
C-1039,Accenture,Risk Audit,618101,596822,Active,2023-04-17,2024-07-08
C-1040,Deloitte,Software Dev,535282,585007,Active (Overrun),2023-07-15,2024-04-10
C-1041,EY,Consulting,362833,410575,Closed,2023-11-10,2024-10-02
C-1042,Capgemini,Consulting,91938,91658,Active (Overrun),2023-04-01,2024-07-05
C-1043,EY,Cloud Services,497700,528752,Active,2023-04-25,2024-09-15
C-1044,PwC,Risk Audit,968866,793033,Active (Overrun),2023-01-06,2024-09-09
C-1045,Globant,IT Services,351126,390077,Closed,2023-09-02,2024-05-09
C-1046,Oracle,IT Services,743696,709239,Closed,2023-09-14,2024-09-13
C-1047,PwC,Finance Ops,708247,612741,Active,2023-07-31,2024-09-06
C-1048,Capgemini,Cloud Support,979599,1086137,Closed,2023-08-21,2024-05-01
C-1049,EY,Cloud Support,815969,940556,Active (Overrun),2023-07-12,2024-10-26
C-1050,Accenture,Risk Audit,540763,588422,Closed,2023-06-12,2024-12-29
C-1051,SAP,Software Licensing,438488,470562,Closed,2023-02-07,2024-10-09
C-1052,IBM,Risk Audit,955301,859440,Active,2023-06-24,2024-01-13
C-1053,Capgemini,Risk Audit,622135,556855,Active (Overrun),2023-02-28,2024-07-20
C-1054,Deloitte,Cloud Support,862434,757274,Closed,2023-12-01,2024-11-27
C-1055,EY,Software Licensing,437769,468365,Active (Overrun),2023-12-05,2024-02-24
C-1056,Capgemini,IT Services,843677,863252,Active,2023-06-28,2024-01-28
C-1057,Accenture,Consulting,343361,293260,Active (Overrun),2023-11-17,2024-12-17
C-1058,Oracle,Software Licensing,489914,415224,Active,2023-08-23,2024-12-13
C-1059,EY,Finance Ops,419781,348957,Active,2023-10-15,2024-04-19
C-1060,IBM,Cloud Services,490339,484232,Closed,2023-06-09,2024-06-12
C-1061,IBM,Risk Audit,255810,279000,Closed,2023-04-12,2024-08-28
C-1062,Globant,Cloud Support,603095,513267,Active,2023-07-15,2024-06-22
C-1063,IBM,Risk Audit,106376,91680,Closed,2023-12-08,2024-11-22
C-1064,EY,Cloud Services,420968,372567,Closed,2023-03-31,2024-08-17
C-1065,Accenture,Cloud Support,430821,466472,Closed,2023-02-24,2024-08-02
C-1066,EY,Software Dev,917719,924941,Closed,2023-05-02,2024-09-10
C-1067,Microsoft,ERP Implementation,223778,251322,Closed,2023-05-12,2024-08-26
C-1068,Deloitte,Finance Ops,149196,140094,Active,2023-05-22,2024-05-11
C-1069,Capgemini,Finance Ops,470183,466404,Closed,2023-12-15,2024-08-21
C-1070,Globant,Finance Ops,217893,187452,Active,2023-05-19,2024-02-02
C-1071,Globant,Consulting,319350,333842,Active (Overrun),2023-04-16,2024-04-20
C-1072,Microsoft,Software Licensing,475993,465410,Closed,2023-02-18,2024-11-09
C-1073,EY,ERP Implementation,213518,224131,Closed,2023-01-26,2024-04-08
C-1074,EY,Software Licensing,796461,643151,Closed,2023-03-01,2024-02-09
C-1075,Microsoft,ERP Implementation,885705,969433,Active (Overrun),2023-09-04,2024-05-24
C-1076,SAP,ERP Implementation,307218,259385,Active,2023-05-11,2024-08-18
C-1077,EY,Consulting,397308,325413,Active,2023-09-29,2024-10-17
C-1078,Microsoft,Risk Audit,573386,575956,Closed,2023-03-15,2024-04-05
C-1079,IBM,Software Licensing,639630,697750,Active,2023-02-10,2024-01-17
C-1080,Deloitte,Software Licensing,850994,780294,Active,2023-06-05,2024-02-13
C-1081,IBM,IT Services,767694,749386,Active,2023-11-10,2024-05-20
C-1082,Oracle,IT Services,349253,312773,Active,2023-07-14,2024-06-26
C-1083,Oracle,Consulting,962235,844831,Active,2023-10-20,2024-03-27
C-1084,IBM,Software Licensing,630352,694721,Active,2023-06-23,2024-11-12
C-1085,Globant,Software Dev,289700,339712,Active,2023-10-29,2024-05-03
C-1086,Globant,Consulting,54628,65517,Active,2023-08-23,2024-02-23
C-1087,Microsoft,ERP Implementation,621955,674633,Active,2023-12-03,2024-04-11
C-1088,SAP,Risk Audit,624030,674155,Active,2023-09-01,2024-08-16
C-1089,Capgemini,Cloud Support,497160,578056,Closed,2023-11-15,2024-11-02
C-1090,SAP,Cloud Services,398633,413092,Closed,2023-06-11,2024-04-02
C-1091,Microsoft,Finance Ops,367850,306779,Closed,2023-06-17,2024-02-05
C-1092,IBM,Software Dev,301082,348384,Closed,2023-02-25,2024-07-17
C-1093,SAP,Risk Audit,544272,593911,Closed,2023-12-09,2024-09-13
C-1094,Accenture,IT Services,886526,1024660,Active,2023-06-03,2024-09-04
C-1095,Deloitte,Cloud Support,869254,923472,Closed,2023-11-01,2024-07-25
C-1096,SAP,Software Dev,576205,648198,Active (Overrun),2023-11-20,2024-10-15
C-1097,Deloitte,Cloud Services,336577,376135,Closed,2023-04-01,2024-10-13
C-1098,Oracle,Cloud Services,864590,852451,Closed,2023-02-12,2024-10-01
C-1099,Globant,Cloud Support,965134,950135,Active,2023-05-12,2024-03-11
C-1100,Capgemini,Consulting,174420,202964,Active,2023-12-28,2024-05-15
C-1101,Accenture,Software Dev,257589,217247,Active,2023-10-07,2024-05-02
C-1102,PwC,IT Services,281395,327999,Active,2023-02-07,2024-06-05
C-1103,Deloitte,Finance Ops,134284,134123,Active,2023-12-13,2024-06-20
C-1104,EY,Risk Audit,405472,339546,Active,2023-09-16,2024-03-21
C-1105,Accenture,ERP Implementation,604451,683946,Closed,2023-11-16,2024-07-11
C-1106,Deloitte,Cloud Services,681581,774347,Active,2023-05-25,2024-06-09
C-1107,EY,Cloud Support,964710,1127113,Active,2023-02-12,2024-02-17
C-1108,Globant,Finance Ops,194105,225523,Active (Overrun),2023-01-11,2024-07-07
C-1109,Oracle,Cloud Support,810810,838450,Active (Overrun),2023-10-13,2024-01-07
C-1110,Deloitte,Software Dev,459197,465301,Active (Overrun),2023-02-22,2024-07-29
C-1111,Deloitte,Consulting,311415,363769,Active,2023-09-02,2024-09-23
C-1112,PwC,Finance Ops,895676,902286,Active (Overrun),2023-11-26,2024-01-05
C-1113,PwC,ERP Implementation,762590,748681,Closed,2023-09-17,2024-09-16
C-1114,Deloitte,IT Services,242492,238718,Closed,2023-03-14,2024-09-17
C-1115,Accenture,Cloud Support,211821,183500,Closed,2023-11-20,2024-12-14
C-1116,Oracle,Risk Audit,77941,79945,Active,2023-02-25,2024-08-06
C-1117,Microsoft,Finance Ops,254252,303870,Active,2023-02-05,2024-01-26
C-1118,Oracle,Cloud Support,783011,663400,Closed,2023-01-06,2024-09-17
C-1119,Accenture,Finance Ops,626776,742721,Active,2023-05-11,2024-10-09
C-1120,IBM,IT Services,420093,362565,Closed,2023-01-28,2024-08-23
C-1121,Deloitte,Consulting,52696,56253,Active (Overrun),2023-10-01,2024-11-26
C-1122,Accenture,Software Dev,476269,559561,Active,2023-12-08,2024-10-17
C-1123,Oracle,ERP Implementation,110445,109466,Active (Overrun),2023-06-29,2024-02-21
C-1124,Accenture,ERP Implementation,313837,317304,Closed,2023-06-29,2024-11-09
C-1125,Microsoft,Software Licensing,981304,874259,Closed,2023-09-14,2024-05-13
C-1126,PwC,Consulting,256071,226224,Active,2023-12-16,2024-12-27
C-1127,Oracle,Cloud Services,194956,188217,Active,2023-09-20,2024-05-31
C-1128,PwC,Software Dev,429833,443147,Active,2023-09-25,2024-05-14
C-1129,PwC,Cloud Services,912356,909182,Active,2023-08-17,2024-09-17
C-1130,Deloitte,IT Services,437281,494451,Closed,2023-01-04,2024-12-14
C-1131,Oracle,Software Licensing,760966,910567,Active (Overrun),2023-02-04,2024-08-17
C-1132,Microsoft,IT Services,51081,42981,Closed,2023-01-15,2024-07-29
C-1133,Accenture,Consulting,838931,984536,Active (Overrun),2023-12-13,2024-11-13
C-1134,Accenture,Consulting,580804,577422,Closed,2023-03-07,2024-07-14
C-1135,PwC,Finance Ops,654954,735396,Closed,2023-05-09,2024-10-27
C-1136,Globant,Software Licensing,859874,899114,Closed,2023-11-01,2024-05-08
C-1137,EY,ERP Implementation,539794,489750,Active (Overrun),2023-04-04,2024-06-24
C-1138,Microsoft,Cloud Services,200531,237590,Closed,2023-03-03,2024-01-29
C-1139,Oracle,Cloud Services,944534,757389,Closed,2023-06-25,2024-03-05
C-1140,PwC,Cloud Support,484523,520251,Active (Overrun),2023-11-07,2024-05-29
C-1141,EY,Risk Audit,970512,916001,Active,2023-08-19,2024-03-01
C-1142,Microsoft,Risk Audit,316827,367042,Active (Overrun),2023-12-11,2024-05-24
C-1143,Globant,Software Dev,499370,415924,Active (Overrun),2023-02-19,2024-05-14
C-1144,Globant,Cloud Support,268743,241332,Closed,2023-09-16,2024-04-19
C-1145,Capgemini,Cloud Services,243676,248828,Active,2023-02-01,2024-04-14
C-1146,Microsoft,Software Licensing,769338,707507,Active (Overrun),2023-05-27,2024-12-05
C-1147,IBM,Risk Audit,183613,187552,Closed,2023-12-08,2024-04-16
C-1148,Capgemini,Software Dev,455080,367738,Active,2023-07-23,2024-02-13
C-1149,Capgemini,Cloud Support,628951,619983,Closed,2023-01-20,2024-06-27
C-1150,Oracle,Consulting,871567,821743,Closed,2023-05-28,2024-10-04
C-1151,Capgemini,Software Dev,416232,486011,Active (Overrun),2023-09-15,2024-01-06
C-1152,PwC,Finance Ops,935848,866227,Active,2023-08-26,2024-03-30
C-1153,SAP,Consulting,384433,398429,Active (Overrun),2023-05-07,2024-02-11
C-1154,Capgemini,Cloud Support,328991,301164,Active,2023-10-10,2024-04-28
C-1155,Accenture,Software Dev,97344,79481,Closed,2023-05-29,2024-02-01
C-1156,IBM,Risk Audit,677615,800623,Closed,2023-10-26,2024-01-19
C-1157,Deloitte,ERP Implementation,225186,211279,Active,2023-11-08,2024-08-20
C-1158,IBM,IT Services,701336,793865,Active,2023-04-11,2024-01-06
C-1159,Accenture,Cloud Support,665599,652752,Active,2023-05-29,2024-05-10
C-1160,Capgemini,IT Services,270086,319323,Active (Overrun),2023-09-20,2024-03-24
C-1161,Globant,Finance Ops,417762,402580,Active,2023-07-19,2024-03-03
C-1162,Oracle,Finance Ops,551259,568407,Active (Overrun),2023-11-14,2024-06-07
C-1163,IBM,IT Services,613597,613476,Active (Overrun),2023-01-14,2024-08-22
C-1164,Capgemini,Software Licensing,478513,466047,Active (Overrun),2023-10-15,2024-03-05
C-1165,SAP,ERP Implementation,292921,305166,Active (Overrun),2023-03-05,2024-04-27
C-1166,PwC,ERP Implementation,52969,54619,Active (Overrun),2023-12-03,2024-12-05
C-1167,Deloitte,Finance Ops,613834,699068,Active (Overrun),2023-01-30,2024-06-04
C-1168,Accenture,Consulting,177842,190246,Closed,2023-08-14,2024-09-13
C-1169,Capgemini,Cloud Services,105562,93992,Active (Overrun),2023-09-19,2024-12-21
C-1170,IBM,Software Dev,496379,413024,Active,2023-10-30,2024-01-19
C-1171,IBM,Consulting,274565,300351,Active (Overrun),2023-07-16,2024-04-21
C-1172,IBM,Software Dev,712614,757637,Closed,2023-04-24,2024-06-08
C-1173,Microsoft,Finance Ops,515911,485522,Active (Overrun),2023-10-08,2024-12-07
C-1174,EY,Risk Audit,655854,682832,Active (Overrun),2023-12-07,2024-04-25
C-1175,Microsoft,Consulting,69433,65755,Active,2023-01-21,2024-08-25
C-1176,Deloitte,Cloud Services,383392,336817,Active (Overrun),2023-10-11,2024-09-23
C-1177,Microsoft,Cloud Support,817241,782041,Active (Overrun),2023-08-22,2024-03-06
C-1178,EY,Cloud Services,244392,249289,Active,2023-08-01,2024-01-20
C-1179,Oracle,Cloud Support,144406,166486,Active,2023-04-26,2024-02-15
C-1180,SAP,Finance Ops,842612,956877,Active,2023-07-09,2024-03-03
C-1181,Deloitte,Software Dev,349232,374409,Active,2023-04-23,2024-01-01
C-1182,Capgemini,Software Dev,528549,628324,Active,2023-09-04,2024-10-26
C-1183,Accenture,IT Services,413648,361234,Active,2023-10-11,2024-06-02
C-1184,SAP,Finance Ops,264845,297612,Active (Overrun),2023-09-14,2024-05-10
C-1185,Accenture,Consulting,514025,462595,Closed,2023-11-03,2024-10-27
C-1186,Capgemini,Cloud Support,546411,499642,Closed,2023-02-06,2024-04-24
C-1187,Capgemini,Consulting,903559,847979,Active,2023-10-09,2024-12-26
C-1188,SAP,Risk Audit,286615,251738,Active (Overrun),2023-07-06,2024-03-04
C-1189,Microsoft,Consulting,505186,525934,Active,2023-12-28,2024-04-29
C-1190,Capgemini,Consulting,702375,801789,Active (Overrun),2023-07-24,2024-01-02
C-1191,Microsoft,Finance Ops,459067,447426,Active,2023-03-20,2024-07-16
C-1192,Accenture,Cloud Services,117220,124122,Active (Overrun),2023-06-01,2024-02-08
C-1193,PwC,Cloud Services,693443,624050,Active,2023-10-14,2024-04-23
C-1194,Accenture,Consulting,53011,57620,Active (Overrun),2023-01-15,2024-02-12
C-1195,IBM,Risk Audit,962572,988676,Closed,2023-08-04,2024-08-26
C-1196,PwC,Software Dev,972976,856828,Closed,2023-12-19,2024-08-25
C-1197,IBM,Risk Audit,129086,111755,Closed,2023-10-17,2024-02-28
C-1198,Capgemini,Cloud Support,142329,154268,Closed,2023-08-04,2024-09-20
C-1199,IBM,Cloud Services,943467,877425,Active (Overrun),2023-03-03,2024-06-27
C-1200,Oracle,Software Dev,947605,778256,Closed,2023-06-13,2024-12-28
C-1201,Globant,Software Licensing,539730,522394,Active (Overrun),2023-11-11,2024-06-11
C-1202,Oracle,Cloud Support,220306,197115,Active,2023-01-04,2024-02-13
C-1203,Globant,IT Services,691718,634922,Active,2023-12-25,2024-02-28
C-1204,SAP,Software Dev,836140,797637,Active (Overrun),2023-07-16,2024-11-17
C-1205,EY,Cloud Services,876219,1047612,Active,2023-01-28,2024-12-19
C-1206,Accenture,Cloud Services,422627,485831,Active,2023-12-21,2024-09-12
C-1207,Oracle,Finance Ops,632706,732852,Active,2023-07-15,2024-06-24
C-1208,Capgemini,ERP Implementation,645944,706846,Active,2023-08-06,2024-02-08
C-1209,Accenture,Risk Audit,853809,899238,Active,2023-05-26,2024-01-27
C-1210,SAP,Finance Ops,669604,581158,Active (Overrun),2023-06-04,2024-11-17
C-1211,Oracle,Software Dev,703222,734704,Active,2023-06-26,2024-07-01
C-1212,SAP,ERP Implementation,852353,1021885,Active,2023-02-08,2024-11-30
C-1213,IBM,Software Dev,546669,630820,Active,2023-11-15,2024-04-15
C-1214,Oracle,Finance Ops,161339,155659,Active,2023-11-14,2024-01-22
C-1215,Globant,Cloud Support,148962,153762,Closed,2023-04-19,2024-06-21
C-1216,Deloitte,Software Licensing,416956,453328,Closed,2023-01-17,2024-03-07
C-1217,SAP,Finance Ops,941778,907480,Active,2023-09-10,2024-08-21
C-1218,Capgemini,Cloud Support,838967,969578,Closed,2023-03-31,2024-09-02
C-1219,SAP,Software Licensing,340798,372715,Active (Overrun),2023-04-15,2024-05-12
C-1220,Globant,Cloud Services,767192,699009,Active (Overrun),2023-08-14,2024-04-22
C-1221,Oracle,Risk Audit,252480,229822,Active (Overrun),2023-02-18,2024-09-09
C-1222,Deloitte,Finance Ops,115050,123050,Active (Overrun),2023-08-20,2024-12-04
C-1223,Globant,Finance Ops,56955,61540,Closed,2023-04-25,2024-06-03
C-1224,Microsoft,Cloud Services,463746,546807,Active (Overrun),2023-12-12,2024-07-07
C-1225,EY,Software Licensing,919985,892344,Closed,2023-02-28,2024-09-26
C-1226,Microsoft,Software Dev,172200,194592,Closed,2023-05-22,2024-11-13
C-1227,Capgemini,Cloud Services,652370,628516,Active,2023-08-12,2024-02-21
C-1228,Deloitte,IT Services,611722,558300,Closed,2023-12-17,2024-08-12
C-1229,EY,IT Services,773238,633024,Active (Overrun),2023-08-25,2024-07-01
C-1230,PwC,ERP Implementation,473716,564617,Active,2023-09-03,2024-03-12
C-1231,PwC,ERP Implementation,709573,672070,Active (Overrun),2023-12-21,2024-08-15
C-1232,Accenture,Consulting,401310,456774,Active,2023-10-22,2024-12-26
